Year,Player,Match,Aces,Avg,Ace_Contribution
2009,Roger,Final,11,12.1429,90.58791557
2009,Roger,semi,16,12.1429,131.7642408
2009,Roger,quarter,12,12.1429,98.82318062
2009,Roger,Fourth,20,12.1429,164.705301
2009,Roger,Third,9,12.1429,74.11738547
2009,Roger,Second,8,12.1429,65.88212042
2009,Roger,First,9,12.1429,74.11738547
2009,Rafael,Final,4,6,9.523809524
2009,Rafael,semi,12,6,28.57142857
2009,Rafael,quarter,5,6,11.9047619
2009,Rafael,Fourth,4,6,9.523809524
2009,Rafael,Third,4,6,9.523809524
2009,Rafael,Second,3,6,7.142857143
2009,Rafael,First,10,6,23.80952381
2010,Roger,Final,11,8.29,18.96551724
2010,Roger,semi,4,8.29,6.896551724
2010,Roger,quarter,9,8.29,15.51724138
2010,Roger,Fourth,7,8.29,12.06896552
2010,Roger,Third,10,8.29,17.24137931
2010,Roger,Second,8,8.29,13.79310345
2010,Roger,First,9,8.29,15.51724138
2010,Rafael,quarter,1,4.2,4.761904762
2010,Rafael,Fourth,2,4.2,9.523809524
2010,Rafael,Third,6,4.2,28.57142857
2010,Rafael,Second,1,4.2,4.761904762
2010,Rafael,First,11,4.2,52.38095238
2011,Roger,semi,5,7.5,11.11111111
2011,Roger,quarter,5,7.5,11.11111111
2011,Roger,Fourth,10,7.5,22.22222222
2011,Roger,Third,6,7.5,13.33333333
2011,Roger,Second,11,7.5,24.44444444
2011,Roger,First,8,7.5,17.77777778
2011,Rafael,quarter,2,4,10
2011,Rafael,Fourth,3,4,15
2011,Rafael,Third,4,4,20
2011,Rafael,Second,7,4,35
2011,Rafael,First,4,4,20
2012,Roger,semi,11,10.4,21.15384615
2012,Roger,quarter,5,10.4,9.615384615
2012,Roger,Fourth,13,10.4,25
2012,Roger,Third,9,10.4,17.30769231
2012,Roger,First,14,10.4,26.92307692
2012,Rafael,Final,10,5.29,27.02702703
2012,Rafael,semi,4,5.29,10.81081081
2012,Rafael,quarter,6,5.29,16.21621622
2012,Rafael,Fourth,4,5.29,10.81081081
2012,Rafael,Third,2,5.29,5.405405405
2012,Rafael,Second,2,5.29,5.405405405
2012,Rafael,First,9,5.29,24.32432432
2014,Roger,semi,8,8.83,15.09433962
2014,Roger,quarter,10,8.83,18.86792453
2014,Roger,Fourth,7,8.83,13.20754717
2014,Roger,Third,6,8.83,11.32075472
2014,Roger,Second,11,8.83,20.75471698
2014,Roger,First,11,8.83,20.75471698
2014,Rafael,Final,1,4.71,3.03030303
2014,Rafael,semi,3,4.71,9.090909091
2014,Rafael,quarter,3,4.71,9.090909091
2014,Rafael,Fourth,12,4.71,36.36363636
2014,Rafael,Third,2,4.71,6.060606061
2014,Rafael,Second,7,4.71,21.21212121
2014,Rafael,First,5,4.71,15.15151515
2013,Roger,semi,5,8,
2013,Roger,quarter,6,8,
2013,Roger,Fourth,14,8,
2013,Roger,Third,11,8,
2013,Roger,Second,9,8,
2013,Roger,First,3,8,
